"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "MS SQL", "HTML", "comment", "blank", "total"
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\components\StudyPlan\StudyPlanCalendar.jsx", "JavaScript JSX", 0, 0, 0, 245, 0, 0, 0, 0, 20, 33, 298
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\components\common\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\components\common\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\hooks\useAIAnalysis.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 8, 11, 68
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\AI\QuestionSolver.jsx", "JavaScript JSX", 0, 0, 0, 669, 0, 0, 0, 0, 73, 63, 805
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Admin\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 280, 0, 0, 0, 0, 9, 19, 308
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Admin\ExamYears.jsx", "JavaScript JSX", 0, 0, 0, 278, 0, 0, 0, 0, 4, 23, 305
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Admin\TopicQuestions.jsx", "JavaScript JSX", 0, 0, 0, 322, 0, 0, 0, 0, 9, 30, 361
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Admin\Users.jsx", "JavaScript JSX", 0, 0, 0, 268, 0, 0, 0, 0, 6, 21, 295
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 276, 0, 0, 0, 0, 17, 20, 313
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 385, 0, 0, 0, 0, 22, 29, 436
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 531, 0, 0, 0, 0, 38, 42, 611
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Pomodoro\PomodoroTimer.jsx", "JavaScript JSX", 0, 0, 0, 627, 0, 0, 0, 0, 28, 63, 718
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\ActivityHeatmap.jsx", "JavaScript JSX", 0, 0, 0, 216, 0, 0, 0, 0, 18, 24, 258
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\PomodoroTab.jsx", "JavaScript JSX", 0, 0, 0, 333, 0, 0, 0, 0, 11, 17, 361
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\SixMonthTrend.jsx", "JavaScript JSX", 0, 0, 0, 213, 0, 0, 0, 0, 12, 15, 240
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\StatsCharts.jsx", "JavaScript JSX", 0, 0, 0, 457, 0, 0, 0, 0, 28, 27, 512
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\StatsOverview.jsx", "JavaScript JSX", 0, 0, 0, 625, 0, 0, 0, 0, 40, 37, 702
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\StatsPage.jsx", "JavaScript JSX", 0, 0, 0, 320, 0, 0, 0, 0, 5, 19, 344
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\SubjectsTab.jsx", "JavaScript JSX", 0, 0, 0, 374, 0, 0, 0, 0, 20, 29, 423
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\Stats\TopicsTab.jsx", "JavaScript JSX", 0, 0, 0, 709, 0, 0, 0, 0, 42, 54, 805
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\StudyPlan\AIStudyPlanGenerator.jsx", "JavaScript JSX", 0, 0, 0, 442, 0, 0, 0, 0, 18, 46, 506
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\StudyPlan\StudyPlanDetail.jsx", "JavaScript JSX", 0, 0, 0, 285, 0, 0, 0, 0, 10, 32, 327
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\StudyPlan\StudyPlanForm.jsx", "JavaScript JSX", 0, 0, 0, 672, 0, 0, 0, 0, 22, 66, 760
